ROW_ID,Sectors,G_ID,111 Crop Farming,112 Livestock,113 Forestry & Logging,114 Fishing0 Hunting & Trapping,115 Ag & Forestry Svcs,211 Oil & gas extraction,212 Mining,213 Mining services,221 Utilities,230 Construction,311 Food products,312 Beverage & Tobacco,313 Textile Mills,314 Textile Products,315 Apparel,316 Leather & Allied,321 Wood Products,322 Paper Manufacturing,323 Printing & Related,324 Petroleum & coal prod,325 Chemical Manufacturing,326 Plastics & rubber prod,327 Nonmetal mineral prod,331 Primary metal mfg,332 Fabricated metal prod,333 Machinery Mfg,334 Computer & oth electron,335 Electircal eqpt & appliances,336 Transportation eqpmt,337 Furniture & related prod,339 Miscellaneous mfg,42  Wholesale Trade,441 Motor veh & parts dealers,442 Furniture & home furnishings,443 Electronics & appliances stores,444 Bldg materials & garden dealers,445 food & beverage stores,446 Health & personal care stores,447 Gasoline stations,448 Clothing & accessories stores,451 Sports0 hobby0 book & music stores,452 General merch stores,453 Misc retailers,454 Non0store retailers,481 Air transportation,482 Rail Transportation,483 Water transportation,484 Truck transportation,485 Transit & ground passengers,486 Pipeline transportation,487 Sightseeing transportation,49A Postal service couriers & messengers,493 Warehousing & storage,511 Publishing industries,512 Motion picture & sound recording,515 Broadcasting,517 Telecommunications,518 Internet & data process svcs,519 Other information services,521 Monetary authorities,522 Credit intermediation & related,523 Securities & other financial,524 Insurance carriers & related,525 Funds0 trusts & other finan,531 Real estate,532 Rental & leasing svcs,533 Lessor of nonfinance intang assets,541 Professional0 scientific & tech svcs,551 Management of companies,561 Admin support svcs,562 Waste mgmt & remediation svcs,611 Educational svcs,621 Ambulatory health care,622 Hospitals,623 Nursing & residential care,624 Social assistance,711 Performing arts & spectator sports,712 Museums & similar,713 Amusement0 gambling & recreation,721 Accommodations,722 Food svcs & drinking places,811 Repair & maintenance,812 Personal & laundry svcs,813 Religious0 grantmaking0 & similar orgs,814 Private households,92 Government,Households LT10k,Households 10015k,Households 15025k,Households 25035k,Households 35050k,Households 50075k,Households 750100k,Households 1000150k,Households 150k+,Federal Government NonDefense,Federal Government Defense,Federal Government Investment,State/Local Govt NonEducation,State/Local Govt Education,State/Local Govt Investment,Capital,Inventory Additions/Deletions,Foreign Trade,Domestic Trade
1,111 Crop Farming,3,816.75,250.97,16.86,0,59.02,0,0.59,0.11,8.67,135.75,4216.86,520.96,59.5,0,2.08,0.16,75.17,19.47,0.43,0.2,118.07,27.68,0.07,0.01,0.06,0.04,0.1,0.1,0.08,0.39,23.97,1.57,7.04,0.78,0.52,1.58,15.23,1.52,0.53,2.15,0.52,0.04,0.91,3.51,0,0,0,0,0,0,0.08,0,0,0.13,0.06,0.02,0.12,0.24,0.14,0.15,0.19,0.2,0.12,0.01,35.45,0.05,0,12.58,0.89,50.05,0.05,4.42,0.42,1.85,1.96,0.08,0.08,0,2.75,1.1,17.55,0.02,0.03,0.52,0,0.51,165.01,246.63,197.41,196.75,336.34,456.01,548.09,309.92,392.46,0,0.46,0,97.06,10.56,0,0,79.62,8689.69,15045.43
11,112 Livestock,3,47.44,710.34,0.24,0,72.39,0,0,0,0,0.02,7034.08,0.01,5.92,2.84,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0.02,0,0.01,0,0.3,0.06,0,0,0,0.01,0.01,0.01,0,0.01,0,0,0.01,0.02,0,0,0,0,0,0,3.27,0,0,0.01,0.01,0,0.02,0.04,0.02,0.02,0.03,0.03,0.02,0,0.03,0.01,0,9.57,0.56,0.21,0.01,3.48,0.05,0.23,0.39,0.01,0.01,0,4.78,0.95,27.14,0,0,0.07,0,0.06,24.49,37.97,28.97,25.88,54.41,70.81,91.78,52.86,63.11,0,0.19,0,9.88,7.47,0,0,6.53,24.24,1813.15
15,113 Forestry & Logging,3,0,0,23.24,0,0.78,0,0.2,0,12.52,0,11.96,2.46,0,0,3.01,0.24,108.87,28.18,0.58,0.28,6.57,40.05,0.06,0,0,0,0,0.15,0.07,0.54,5.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0,0,0,22.93,142.64
17,114 Fishing0 Hunting & Trapping,3,0,0,0,0,0,0,0,0,0,0,55.6,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.78,0,1.27,1.05,0,0,0,1.49,2.17,56.17,0,0,0.53,0,0.1,2.34,3.57,2.86,2.71,5.59,8.51,9.83,6.52,10.62,0,0,0,0.45,4.05,0,0,0,93.68,0
19,115 Ag & Forestry Svcs,3,3464.61,464.39,35.25,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,3.27,2.26,2.74,5.52,7,9.87,6.21,6.76,0,0,0,102.23,0,0,0,0,17.93,9814.94
20,211 Oil & gas extraction,6,6.51,2.5,0.08,0.01,0.4,110.01,1.61,0.43,927.63,58.37,3.26,1.6,0.1,0.04,0.04,0.01,0.62,1.02,1.07,5765.19,142.13,0.93,1.08,0.75,0.76,1.29,2.35,1.19,0.66,0.33,1,7.77,0.72,0.24,0.16,0.5,1.2,0.48,0.17,0.67,0.16,0.88,0.29,1.1,27.04,3.96,5.04,32.23,12.01,17.1,1.96,6.63,0.79,0.24,0.18,0.23,0.72,0.23,0.39,0.28,0.54,0.21,0.08,0,6.14,3.38,0.19,3.48,5.11,4.29,1.35,0.79,1.58,4.65,1.96,1.49,0.57,0.17,1.5,3.5,8.46,1.24,1.82,1.28,0,245.72,4.53,8.39,6.95,7.15,14.37,17.9,20.84,10.13,12.03,1.74,14.87,0,62.67,1.12,0,0,16.87,637.02,126.6
22,212 Mining,6,41,7.84,0.01,0,0.15,2.43,48.53,0.92,582.92,459.39,35.45,8.31,0.83,0.11,0.11,0,0.19,19.66,0.03,57.94,173.13,1.94,276.42,154.57,17.57,3.06,5.71,8.05,4.41,0.5,9.91,0.83,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.03,0.01,0.01,0.01,0.04,0.46,0.43,0.09,0.56,0.2,0,1.09,0.12,0.12,0.68,0.86,1.92,4.55,1.46,7.16,0.06,0.01,0.03,0.02,0,143.74,8.6,0,26.34,1.26,5.01,1.31,3.92,0.31,0.9,0.59,0.55,6.9,0.02,10.84,1.31,5.41,1.59,7.48,1.84,0,9.46,0.52,0.86,0.63,0.61,1.28,1.66,2.16,1.31,1.73,13.6,0.27,0,62.11,0.11,0,21.52,0.07,166.82,549.23
37,213 Mining services,6,0,0,0,0,0,254.73,66.93,89.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.83,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963.82,0.67,136.24,0
41,221 Utilities,10,184.58,35.77,0.1,0,9.08,19.54,32.59,2.41,7566.33,262.51,485.9,146.08,22.54,7.35,20.48,1.81,51.09,171.92,50.2,111.54,684.49,140.08,193.64,106.77,171.06,82.95,553.36,47.25,143.7,29.85,79.54,521.45,59.07,33.57,22.55,68.16,280.82,65.54,22.73,92.76,22.37,142.57,39.37,151.28,10.51,0.97,37.8,32.88,75.17,2.06,63.78,25.76,143.89,21.25,26.64,48.67,194.19,67.32,66.37,11.22,26.41,40.97,15.48,0.16,2948.86,41.53,14.29,335.56,302.87,99.25,23.21,382.99,158.9,245.38,103.81,81.87,43.46,10.4,102.46,235.56,650.11,65.33,97.47,60.58,0,167.94,634.63,1071.39,734.89,696.04,1304.52,1593.47,1763.93,896.38,1136.33,49.32,138.9,0,362.12,1819.67,0,0,0,157.01,33023.77
52,230 Construction,11,338.59,31.34,0.1,0.08,12.3,151.85,77.73,25.53,368.4,61.84,302.05,100.96,7.23,4.85,13.9,1.69,33.27,86.3,54.03,551.51,271.43,74.15,90.02,49.34,141.51,87.21,698.57,40.14,115.51,26.43,74.62,398.26,51.77,26.12,17.55,53.04,120.48,51,17.69,72.19,17.41,39.24,30.64,117.73,1,64.25,0,45.25,211.94,38.38,302.58,51.5,52.26,13.03,21.24,16.78,597.1,25.19,143.86,413.74,73.42,91.26,12.85,2.36,16552.46,33.42,13.19,242.36,152.99,79.43,6.89,32.76,123.04,102.41,62.19,111.97,18.72,9.74,43.35,230.16,349.16,43.25,101.04,303.93,0,7706.95,0,0,0,0,0,0,0,0,0,921.47,1144.42,1535.25,10372.09,33.92,32801.64,120062.33,0,56.22,0
