CAT_ID,Class_ind,GDP_19
52-53,"Finance, insurance, real estate, rental, and leasing",558.28
54-56,Professional and business services,397.6
51,Information,316.93
31-33,Manufacturing,310.42
91,Government and government enterprises,293.55
61-62,"Educational services, health care, and social assistance",205.17
44-45,Retail trade,154.29
41,Wholesale trade,148.62
71,"Arts, entertainment, recreation, accommodation, and food services",111.71
23,Construction,87.1
48-49,Transportation and warehousing,72.64
11,"Agriculture, forestry, fishing, and hunting",51.42
22,Utilities,30.37
21,"Mining, quarrying, and oil and gas extraction",18.46
